success,final_distance,achieved_control_rate_hz,max_observation_queue_depth,max_action_queue_depth,mode,latency_ms,episodes,final_distance_p95,action_age_p95_ms,observation_wait_p95_ms,decomposition_error_max_ms
1.0,0.012130700951820766,20.402247442730623,0.0,0.0,SYNC,0,20,0.02390690165150584,1.1298512178473172,0.0036448379978537555,0.0
1.0,0.012130700951820766,9.896882985748203,0.0,0.0,SYNC,100,20,0.02390690165150584,101.6150201158598,0.0010684994049370287,0.0
1.0,0.012130700951820766,2.4924860340233588,0.0,0.0,SYNC,400,20,0.02390690165150584,401.2828109320253,0.0010286737233400345,0.0
1.0,0.012040868947754734,20.405353469459147,1.0,1.0,ASYNC_FIFO,0,20,0.024009796938553027,50.10641064494848,0.25399153120815726,0.0
0.2,0.17812714963297818,20.405963371411456,25.0,1.0,ASYNC_FIFO,100,20,0.29229597666431334,1242.5555516709574,1111.353772105649,0.0
0.2,0.16294945277325673,20.40617936941583,43.0,1.0,ASYNC_FIFO,400,20,0.32953146035916026,2112.5433268025517,1668.117903743405,0.0
1.0,0.012040868947754734,20.40586827351358,1.0,1.0,ASYNC_LATEST,0,20,0.024009796938553027,50.043896455317736,1.0416943673044443,0.0
1.0,0.01735704690864104,20.40622335690225,1.0,1.0,ASYNC_LATEST,100,20,0.033664164787501574,150.0586051121354,19.44847169565037,0.0
0.55,0.10859369203588773,20.406184563489113,1.0,1.0,ASYNC_LATEST,400,20,0.19090402053785407,450.0896291923709,6.589639850426465,0.0
